name,address,lat,lng,category,phone,email,booking_url
에스모델,서울시 서초구 신반포로45길26 301호,37.511889,127.018741,Model,02-3443-6231,smodel1004@naver.com,
레디엔터,서울시 강남구 언주로 130길 13 다은빌딩,37.515252,127.036561,Model,02-6900-0947,readay@readyent.com,
플래티늄,서울시 강남구 논현동 73-33,37.517838,127.030695,Model,02-2215-5167,kcasting@platinummgt.co.kr,
온에어,서울시 강남구 논현로133길 12 능원타워 301호,37.515222,127.029111,Model,02-548-1560,onairmodel@naver.com,
유나스,서울시 강남구 도산대로 50길 25 2층 3층,37.520929,127.037777,Model,02-533-9501,unas@unas.co.kr,
피플,서울시 강남구 논현동 16-28 미하임빌딩 4층,37.515715,127.021986,Model,02-517-8787,psy@topeople.co.kr,
스타메카,서울시 강남구 논현로152길21.6층,37.521673,127.029752,Model,02-540-5216,5405216s@gmail.com,
엔와이컴,서울시 강남구 신사동651-15씨씨빌딩3층,37.523095,127.036979,Model,02-541-9686,webmaster@nycommodel.com,
굿모델,서울시 서초구 신반포로47길 52 동구빌딩 4층,37.513602,127.018194,Model,02-545-9534,goodmodels@naver.com,
휴미디어,서울시 서초구 신반포로47길 52 동구빌딩 2층,37.513602,127.018194,Model,02-453-5430,2104kk38@hanmail.net,
브릿지모델,서울시 강남구 논현로132길34.2층,37.515576,127.033379,Model,02-6954-7339,bridge_profile@naver.com,
오션스타,"서울시강남구 언주로133길 27, 3층",37.5152285,127.0347898,Model,02-517-0887,oceanstar0887@naver.com,
엘리스,서울시 강남구논현로164길6희봉빌딩402호,37.524379,127.028843,Model,02-511-2064,aliceent2064@gmail.com,
아임모델,"서울시 영등포구 영중로159, 7층",37.530651,126.905205,Model,010-5543-9674,immodelent@gmail.com,
캐스팅나우,서울시 강남구 언주로172길 25 640아트타워 3층,37.521371,127.029264,Model,02-518-9658,casting4@daum.net,
플로우,서울 강남구 논현로 336 건일빌딩 2층,37.49845,127.03403,Model,메일로연락,flowmodel1@naver.com,
캐스팅봄나인,서울 서초구 나루터로10길 29,37.5148,127.0163,Model,02-2088-2832,,https://open.kakao.com/o/sbfa8uFi
잇츠모델,서울 서초구 강남대로95길 48-4 3층,,,Model,0507-1401-8538,itsmodel@daum.net,"https://map.naver.com/p/search/%EC%9E%87%EC%B8%A0%EB%AA%A8%EB%8D%B8?c=15.00,0,0,0,dh&placePath=%2Fhome%3Ffrom%3Dmap%26fromPanelNum%3D1%26additionalHeight%3D76%26timestamp%3D202608101415%26locale%3Dko%26svcName%3Dmap_pcv5%26searchText%3D%EC%9E%87%EC%B8%A0%EB%AA%A8%EB%8D%B8"
